current_part_number,proposed_part_number,confidence,reason,name,spec_frequency,url
ECS-2520MV-500-CN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-500-CN-TR
CB3LV-3C-16M000000,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 16.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-16M000000
ASE-14.7456MHZ-L-C-T,14.7456MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 14.7456MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-14.7456MHZ-L-C-T
632L3I024M00000,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 24.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/632L3I024M00000
OM-7604-C7-32.768KHZ-20PPM-TA-QC,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Micro Crystal AG OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/OM-7604-C7-32.768KHZ-20PPM-TA-QC
CB3LV-3C-10M000000,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 10.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-10M000000
CB3LV-3I-50M000000,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 50.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-50M000000
ECS-327MVATX-7-CN-TR,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-7-CN-TR
ASE-24.000MHZ-L-R-T,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-24.000MHZ-L-R-T
ASE-50.000MHZ-L-R-T,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-50.000MHZ-L-R-T
NSC5136D-32.768K,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,"NDK (NIHON DEMPA KOGYO CO., LTD) XTAL OSC XO 32.7680KHZ CMOS SMD",,https://songglow.com/components/crystals-oscillators-resonators-oscillators/NSC5136D-32.768K
CB3LV-3C-30M000000,30.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 30.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-30M000000
ASE-10.000MHZ-L-C-T,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 10.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-10.000MHZ-L-C-T
CB3LV-3C-8M000000,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 8.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-8M000000
CB3-3C-10M000000,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 10.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-10M000000
CB3-3C-16M000000,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 16.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-16M000000
ASE-12.000MHZ-L-C-T,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 12.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-12.000MHZ-L-C-T
KC2016K25.0000C1GE00,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016K25.0000C1GE00
KC2016K80.0000C1GE00,80.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 80.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016K80.0000C1GE00
KC2016K24.0000C1GE00,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016K24.0000C1GE00
ASV-25.000MHZ-EJ-T,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-25.000MHZ-EJ-T
ASV-10.000MHZ-EJ-T,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 10.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-10.000MHZ-EJ-T
ASE-33.333MHZ-L-C-T,33.3330MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 33.3330MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-33.333MHZ-L-C-T
CB3LV-3I-10M000000,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 10.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-10M000000
632L3I025M00000,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/632L3I025M00000
CB3LV-3C-18M432000,18.4320MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 18.4320MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-18M432000
CB3LV-5I-25M000000,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-5I-25M000000
CB3LV-3I-12M000000,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 12.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-12M000000
CB3LV-5I-20M000000,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-5I-20M000000
CB3LV-3I-40M000000,40.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-40M000000
CB3LV-3I-20M000000,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-20M000000
ECS-2033-080-AU,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-080-AU
ECS-3963-500-BN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-500-BN-TR
ECS-327ATQMV-AS-TR,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327ATQMV-AS-TR
LFSPXO025165,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,IQD Frequency Products XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO025165
ECS-3963-250-BN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-250-BN-TR
ECS-3225MVQ-1000-CN-TR,100.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 100.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MVQ-1000-CN-TR
ASE-20.000MHZ-L-C-T,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 20.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-20.000MHZ-L-C-T
CB3LV-3I-24M000000,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 24.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-24M000000
ECS-3963-480-BN-TR,48.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 48.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-480-BN-TR
MC2520Z25.0000C19XSH,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2520Z25.0000C19XSH
MC2520Z12.0000C19XSH,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 12.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2520Z12.0000C19XSH
MC2016Z25.0000C19XSH,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016Z25.0000C19XSH
MC2016Z24.0000C19XSH,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016Z24.0000C19XSH
MC2520Z33.3333C19XSH,33.3333MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 33.3333MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2520Z33.3333C19XSH
MC2016Z20.0000C19XSH,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 20.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016Z20.0000C19XSH
ASAK-32.768KHZ-LRS-T,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 32.7680KHZ LVCMOS,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASAK-32.768KHZ-LRS-T
ECS-3225MVQ-1250-CN-TR,125.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 125.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MVQ-1250-CN-TR
636L3C025M00000,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/636L3C025M00000
ECS-3953M-500-B-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-500-B-TR
LFSPXO072801,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,IQD Frequency Products XTAL OSC XO 8.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO072801
CB3-3C-4M000000,4.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 4.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-4M000000
ECS-3953M-400-BN-TR,40.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 40.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-400-BN-TR
ASDK-32.768KHZ-LRT,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDK-32.768KHZ-LRT
CB3LV-3I-66M000000,66.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 66.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-66M000000
ECS-3961-160-AU-TR,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3961-160-AU-TR
636L3C024M00000,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 24.0000MHZ HCMOS,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/636L3C024M00000
CB3-3C-20M000000,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-20M000000
TC25L5I32K7680,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TC25L5I32K7680
625L3C040M00000,40.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/625L3C040M00000
831055678,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Würth Elektronik XTAL OSC XO 25.0000MHZ CMOS,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/831055678
ECS-3953M-500-BN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-500-BN-TR
CB3LV-3I-64M000000,64.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 64.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-64M000000
ASV-50.000MHZ-EJ-T,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-50.000MHZ-EJ-T
ECS-2520MVLC-600-BN-TR,60.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 60.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-600-BN-TR
ECS-3951M-040-BN-TR,4.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 4.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3951M-040-BN-TR
ECS-2016MV-250-CN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2016MV-250-CN-TR
ECS-TXO-20CSMV4-320-AY-TR,32.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC TCXO 32.0000MHZ CLPSW,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-20CSMV4-320-AY-TR
ECS-TXO-20CSMV4-260-AN-TR,26.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC TCXO 26.0000MHZ CLPSW,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-20CSMV4-260-AN-TR
ECS-1612MV-240-CN-TR,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-240-CN-TR
ECS-2033-200-AU,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 20.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-200-AU
7XZ-32.768KBE-T,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,TXC CORPORATION XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/7XZ-32.768KBE-T
ECS-2018-250-BN,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2018-250-BN
ECS-1612MV-250-CN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-250-CN-TR
ECS-1612MV-192-CN-TR,19.2000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 19.2000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-192-CN-TR
ECS-3953M-480-B-TR,48.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 48.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-480-B-TR
ECS-1612MV-500-CN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-500-CN-TR
ECS-3953M-100-AU-TR,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 10.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-100-AU-TR
OV-7604-C7-32.768KHZ-20PPM-TA-QC,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Micro Crystal AG XTAL OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/OV-7604-C7-32.768KHZ-20PPM-TA-QC
ASFL1-25.000MHZ-L-T,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 25.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-25.000MHZ-L-T
ECS-3953M-250-BN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-250-BN-TR
ECS-3518-500-B-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3518-500-B-TR
LFSPXO019987,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,IQD Frequency Products XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO019987
LFSPXO018044,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,IQD Frequency Products XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO018044
LFSPXO018042,40.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,IQD Frequency Products XTAL OSC XO 40.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO018042
ASE-7.3728MHZ-L-C-T,7.3728MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 7.3728MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-7.3728MHZ-L-C-T
CB3LV-3C-80M000000,80.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 80.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-80M000000
ASEK-32.768KHZ-L-R-T,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASEK-32.768KHZ-L-R-T
LFSPXO073707,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,IQD Frequency Products XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO073707
ASEAIG-16.000MHZ-C-S-T,16.000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC OSC XO 16.000MHZ 3.3V CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASEAIG-16.000MHZ-C-S-T
ECS-1612MV-080-CN-TR,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-080-CN-TR
ASFL1-24.000MHZ-EC-T,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 24.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-24.000MHZ-EC-T
ECS-3961-200-AU-TR,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 20.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3961-200-AU-TR
ASFL1-25.000MHZ-EC-T,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 25.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-25.000MHZ-EC-T
ECS-3953M-240-BN-TR,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-240-BN-TR
ECS-TXO-20CSMV-320-EY-TR,32.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC TCXO 32.0000MHZ CLP SNW,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-20CSMV-320-EY-TR
ECS-3953M-100-BN-TR,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 10.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-100-BN-TR
END4263D-32M,32.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,"NDK (NIHON DEMPA KOGYO CO., LTD) XTAL OSC TCXO 32.0000MHZ SMD",,https://songglow.com/components/crystals-oscillators-resonators-oscillators/END4263D-32M
ASFL1-8.000MHZ-EC-T,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 8.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-8.000MHZ-EC-T
ECS-327MV-CN-TR,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MV-CN-TR
ECS-3953M-200-BN-TR,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 20.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-200-BN-TR
ECS-TXO-25CSMV-320-DY-TR,32.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC TCXO 32.0000MHZ CLPSNW,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-25CSMV-320-DY-TR
ECS-3963-160-AU-TR,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-160-AU-TR
ECS-3961-040-AU-TR,4.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 4.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3961-040-AU-TR
ASDK2-32.768KHZ-LR-T3,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDK2-32.768KHZ-LR-T3
OV-7604-C7-32.768KHZ-20PPM-TB-QA,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,Micro Crystal AG XTAL OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/OV-7604-C7-32.768KHZ-20PPM-TB-QA
CSX-750FBC8000000T,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Citizen Finedevice Co Ltd XTAL OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FBC8000000T
CSX-750FCC10000000T,10.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Citizen Finedevice Co Ltd XTAL OSC XO 10.0000MHZ CMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FCC10000000T
CSX-750FBC12000000T,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Citizen Finedevice Co Ltd XTAL OSC XO 12.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FBC12000000T
